seed,scenario,strategy,requests,mean_total_latency_ms,p95_total_latency_ms,mean_infer_energy_j,quality_sla_rate,latency_sla_rate,joint_sla_rate,mean_budget_retention,switch_rate_per_100,mean_rl_reward
2029,nominal,dynamic_budget_q8,1000,7045.555509156415,10556.344035249464,32.86890948267909,0.896,0.992,0.888,0.643875,0.1,0.5541599179162132
2029,nominal,greedy_sla,1000,3923.233092769997,7087.251756312857,16.54866872227591,0.745,0.999,0.745,0.313125,0.0,0.5566724076291774
2029,nominal,q_learning_empirical,1000,4803.578841194054,9089.91202034028,21.07621914247183,0.879,0.989,0.869,0.3425,0.1,0.6425048087142811
2029,nominal,static_q4,1000,8879.215698920663,15432.77574967238,42.78068465663139,0.727,0.707,0.507,1.0,0.0,0.08220789510513951
2029,nominal,static_q8,1000,11243.218527144389,19984.802420653614,54.94861695729585,0.886,0.387,0.34,1.0,0.1,-0.1828256458650216
2030,nominal,dynamic_budget_q8,1000,7012.9585495979,10381.851421077192,33.10198652693876,0.878,0.993,0.873,0.652375,0.1,0.5408069878042127
2030,nominal,greedy_sla,1000,3848.030267962161,6455.914519354707,16.557695192200672,0.734,0.997,0.731,0.31375,0.0,0.5463872037375147
2030,nominal,q_learning_empirical,1000,4430.476730607192,7244.116173577739,19.518344780444895,0.904,0.993,0.898,0.336875,0.1,0.6865889402813025
2030,nominal,static_q4,1000,8825.660409370848,15392.596431033382,42.904291530676865,0.734,0.712,0.521,1.0,0.0,0.09881931276086597
2030,nominal,static_q8,1000,11257.618010784186,19923.36363074478,55.42889529277862,0.909,0.409,0.371,1.0,0.1,-0.1512305148037497
2031,nominal,dynamic_budget_q8,1000,6910.839071284026,10357.898423399522,33.01126184697573,0.886,0.997,0.883,0.6765,0.1,0.5549670813264843
2031,nominal,greedy_sla,1000,3764.2217999422664,5769.1063180634865,16.563321504469158,0.727,0.999,0.726,0.325625,0.0,0.5452729720359303
2031,nominal,q_learning_empirical,1000,5344.769805340942,7771.292254773776,24.773737508115104,0.896,0.997,0.894,0.45,0.1,0.6390176448916138
2031,nominal,static_q4,1000,8441.12707576817,15283.49217135223,41.31818112941566,0.736,0.754,0.561,1.0,0.0,0.1557655411575818
2031,nominal,static_q8,1000,10773.411237900187,19844.420529597173,53.32839144337673,0.9,0.443,0.404,1.0,0.1,-0.09934507678200655
2032,nominal,dynamic_budget_q8,1000,6980.5334772547485,10299.706743414197,32.91449742510181,0.909,0.991,0.9,0.63725,0.1,0.5693097431169649
2032,nominal,greedy_sla,1000,3851.367142935559,6737.900026791854,16.55831781508425,0.734,0.998,0.733,0.308,0.0,0.5487560343119015
2032,nominal,q_learning_empirical,1000,4699.276177221947,10120.841663718807,20.91508402692927,0.878,0.995,0.873,0.35375,0.1,0.6519630182953994
2032,nominal,static_q4,1000,8952.216584943913,15327.569530573915,43.55711391163447,0.746,0.705,0.528,1.0,0.0,0.10006778562249623
2032,nominal,static_q8,1000,11373.331390383104,19906.702287099124,56.020614448156955,0.9,0.378,0.342,1.0,0.1,-0.18639789997276096
2033,nominal,dynamic_budget_q8,1000,7006.907471468456,10368.85077206418,32.96338346259333,0.9,0.992,0.892,0.643375,0.1,0.5599272467012024
2033,nominal,greedy_sla,1000,3870.6215326717374,6869.24808509701,16.569826485550966,0.736,0.999,0.735,0.31025,0.0,0.5493567769851514
2033,nominal,q_learning_empirical,1000,4332.1522880866005,7327.1941924999455,18.89417119800477,0.886,0.996,0.883,0.311625,0.1,0.6752886129423274
2033,nominal,static_q4,1000,8825.645738306892,15331.866404049599,42.79676960597783,0.74,0.719,0.527,1.0,0.0,0.10369396078485198
2033,nominal,static_q8,1000,11263.103989358353,19973.660223332663,55.350977146694184,0.898,0.39,0.353,1.0,0.1,-0.17163629342671752
2034,nominal,dynamic_budget_q8,1000,6968.742664038435,10360.96454596538,33.01113087530887,0.9,0.993,0.893,0.64775,0.1,0.5627073577884795
2034,nominal,greedy_sla,1000,3819.873326621999,6489.31280913547,16.55126952538368,0.746,0.998,0.744,0.312375,0.0,0.5606949460931886
2034,nominal,q_learning_empirical,1000,5341.253366180564,7566.745983467841,24.450537168576474,0.909,0.994,0.904,0.420875,0.1,0.6473444002357447
2034,nominal,static_q4,1000,8677.244685683938,15338.041963900296,42.261336128898535,0.727,0.734,0.533,1.0,0.0,0.11796019923566782
2034,nominal,static_q8,1000,11044.804278836955,19915.406061904232,54.451214969149085,0.898,0.387,0.353,1.0,0.1,-0.16203340129633237
2035,nominal,dynamic_budget_q8,1000,7009.571070892294,10452.147916963402,33.1655060309484,0.898,0.991,0.892,0.6525,0.1,0.5597739181268919
2035,nominal,greedy_sla,1000,3821.739427766639,6346.455888819646,16.500385710238167,0.74,0.998,0.738,0.311875,0.0,0.5543800944267328
2035,nominal,q_learning_empirical,1000,4811.743115015199,10218.610083492405,21.604930983034876,0.9,0.99,0.893,0.369875,0.1,0.6669331735136605
2035,nominal,static_q4,1000,8736.138926815023,15311.928418923178,42.51230225870127,0.761,0.724,0.558,1.0,0.0,0.13881075762485795
2035,nominal,static_q8,1000,11107.481278500938,19931.93818656909,54.72051372296987,0.894,0.4,0.365,1.0,0.1,-0.15330640101646498
