device,framework,model,dtype,prompt_id,run_label,batch_size,input_tokens,max_new_tokens,model_load_ms,wall_ms_batch,wall_ms_per_request,output_tokens_batch,output_tokens_per_request,tokens_per_sec_per_request,peak_torch_memory_mb,gpu_mem_used_mb_avg,gpu_mem_used_mb_max,gpu_mem_total_mb_avg,gpu_mem_total_mb_max,power_w_avg,power_w_max,temperature_c_avg,temperature_c_max,gpu_util_pct_avg,gpu_util_pct_max,nvidia_samples
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,512,16,1698.7110000009125,1008.0632999997761,1008.0632999997761,16,16,15.872019148007427,1560.04443359375,3530.5,3546.0,8151.0,8151.0,42.875,44.65,48.5,49.0,25.0,25.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,512,16,1698.7110000009125,1026.495199999772,1026.495199999772,16,16,15.587018818990632,1560.04443359375,3546.0,3546.0,8151.0,8151.0,43.125,43.47,48.0,49.0,16.0,24.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,512,16,1698.7110000009125,1011.5996000004088,1011.5996000004088,16,16,15.816534526104531,1560.04443359375,3546.0,3546.0,8151.0,8151.0,42.59,42.9,48.5,49.0,15.5,22.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,512,16,1698.7110000009125,1029.5321000012336,1029.5321000012336,16,16,15.5410404396141,1560.04443359375,3546.0,3546.0,8151.0,8151.0,42.61,43.18,49.0,49.0,22.0,23.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,512,16,1698.7110000009125,1002.8860000002169,1002.8860000002169,16,16,15.953956880439591,1560.04443359375,3546.0,3546.0,8151.0,8151.0,43.724999999999994,44.15,49.0,49.0,23.5,24.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,512,16,1698.7110000009125,1012.8139999997074,1012.8139999997074,16,16,15.797569938808726,1560.04443359375,3546.0,3546.0,8151.0,8151.0,43.655,44.12,49.0,49.0,24.0,25.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,512,16,1698.7110000009125,1023.8079000009748,1023.8079000009748,16,16,15.627931763355964,1560.04443359375,3546.0,3546.0,8151.0,8151.0,42.825,43.08,49.0,49.0,22.5,23.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,512,16,1698.7110000009125,1019.1352000001643,1019.1352000001643,16,16,15.69958529545189,1560.04443359375,3546.0,3546.0,8151.0,8151.0,42.790000000000006,43.02,49.0,49.0,24.5,25.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,512,64,1698.7110000009125,3846.089899998333,3846.089899998333,64,64,16.640276661246983,1560.04443359375,3599.266666666667,3640.0,8151.0,8151.0,41.94533333333333,43.36,48.86666666666667,49.0,24.133333333333333,28.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,512,64,1698.7110000009125,3563.147500000923,3563.147500000923,64,64,17.961647672453473,1560.04443359375,3557.0714285714284,3609.0,8151.0,8151.0,39.832857142857144,42.08,48.142857142857146,49.0,18.285714285714285,23.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,512,64,1698.7110000009125,3328.215399998953,3328.215399998953,64,64,19.229524627528654,1560.04443359375,3512.923076923077,3524.0,8151.0,8151.0,41.37769230769231,43.63,48.69230769230769,49.0,21.846153846153847,22.0,13
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,512,64,1698.7110000009125,3561.283799999728,3561.283799999728,64,64,17.971047407118995,1560.04443359375,3511.0,3511.0,8151.0,8151.0,41.80642857142857,43.97,49.57142857142857,54.0,24.214285714285715,43.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,512,64,1698.7110000009125,3602.1417000010842,3602.1417000010842,64,64,17.767207769750073,1560.04443359375,3511.0,3511.0,8151.0,8151.0,39.80571428571428,42.94,47.92857142857143,49.0,18.357142857142858,22.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,512,64,1698.7110000009125,3631.963600000745,3631.963600000745,64,64,17.621321975800328,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.730000000000004,42.1,48.857142857142854,49.0,21.714285714285715,22.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,512,64,1698.7110000009125,3605.6760999999824,3605.6760999999824,64,64,17.749791779688785,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.10142857142857,40.55,48.5,49.0,20.928571428571427,24.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,512,64,1698.7110000009125,3581.0904999998456,3581.0904999998456,64,64,17.871651107393895,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.765,42.49,48.642857142857146,49.0,21.714285714285715,25.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,512,128,1698.7110000009125,7184.168300000238,7184.168300000238,128,128,17.81695453877323,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.621428571428574,42.94,48.82142857142857,52.0,22.535714285714285,41.0,28
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,512,128,1698.7110000009125,7382.197900000392,7382.197900000392,128,128,17.339009565158527,1560.04443359375,3511.0,3511.0,8151.0,8151.0,39.93103448275862,41.67,48.3448275862069,49.0,19.517241379310345,24.0,29
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,512,128,1698.7110000009125,7111.073200001556,7111.073200001556,128,128,18.000095963007663,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.49428571428571,42.81,48.464285714285715,49.0,20.75,24.0,28
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,512,128,1698.7110000009125,7118.641600000046,7118.641600000046,128,128,17.980958614351252,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.57785714285715,43.22,48.642857142857146,49.0,20.714285714285715,22.0,28
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,512,128,1698.7110000009125,7206.159999999727,7206.159999999727,128,128,17.76258090300588,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.44285714285714,41.98,48.785714285714285,49.0,20.964285714285715,22.0,28
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,512,128,1698.7110000009125,7178.338499999882,7178.338499999882,128,128,17.831424360943988,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.590357142857144,42.84,48.857142857142854,53.0,22.285714285714285,38.0,28
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,512,128,1698.7110000009125,7135.295899999619,7135.295899999619,128,128,17.9389897481346,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.63428571428572,42.24,48.857142857142854,49.0,21.214285714285715,23.0,28
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,512,128,1698.7110000009125,7122.581900001023,7122.581900001023,128,128,17.97101132666254,1560.04443359375,3511.0,3511.0,8151.0,8151.0,40.30678571428571,40.87,48.892857142857146,49.0,21.071428571428573,23.0,28
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,1024,16,1698.7110000009125,1004.4850000012957,1004.4850000012957,16,16,15.928560406555958,1752.32177734375,3727.0,3735.0,8151.0,8151.0,47.99,51.1,53.0,57.0,59.0,94.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,1024,16,1698.7110000009125,1002.5820999999269,1002.5820999999269,16,16,15.958792801109423,1752.32177734375,3735.0,3735.0,8151.0,8151.0,52.8925,53.83,53.5,58.0,59.75,95.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,1024,16,1698.7110000009125,1024.8575000005076,1024.8575000005076,16,16,15.611926536120462,1752.32177734375,3735.0,3735.0,8151.0,8151.0,53.0375,53.83,53.5,58.0,59.5,97.0,4
