input_tokens,max_new_tokens,batch_size,run_label,latency_ms_n,latency_ms_mean,latency_ms_std,latency_ms_p50,latency_ms_p95,tokens_per_sec_n,tokens_per_sec_mean,tokens_per_sec_std,tokens_per_sec_p50,tokens_per_sec_p95,power_w_n,power_w_mean,power_w_std,power_w_p50,power_w_p95,peak_torch_memory_mb_n,peak_torch_memory_mb_mean,peak_torch_memory_mb_std,peak_torch_memory_mb_p50,peak_torch_memory_mb_p95,gpu_mem_used_mb_mean,gpu_mem_used_mb_max
512,16,2,cold_after_load,4,507.0211249997101,5.352438265600136,506.1955499995747,513.152654999567,4,31.559496352762903,0.3316589314633101,31.608392779717168,31.86989692645272,4,48.835,4.159298819112022,50.76,51.1755,4,1677.31787109375,0.0,1677.31787109375,1677.31787109375,3784.0625,3785.0
512,16,2,warm1,4,548.5895374997654,67.37081380727645,517.5468249994992,630.0997025002744,4,29.462998307680195,3.2282173271092494,30.916121252153292,31.339754414728258,4,50.148500000000006,0.5388311423813583,50.11750000000001,50.73675,4,1677.31787109375,0.0,1677.31787109375,1677.31787109375,3784.0,3784.0
512,64,1,cold_after_load,4,3595.530774999588,211.64751890868433,3603.9089000005333,3810.0278299985803,4,17.846700209553624,1.0619748020584965,17.75849977471943,19.010177098861863,4,40.807542124542124,1.0201136267903128,40.739560439560435,41.86018717948718,4,1560.04443359375,0.0,1560.04443359375,1560.04443359375,3533.547435897436,3640.0
512,64,1,warm1,4,3584.3713500003105,32.960951698716066,3572.1190000003844,3624.33263500061,4,17.856417040691674,0.16300856121975452,17.916649389923684,17.969637446919165,4,40.78357142857142,0.8069095743789957,40.7475,41.650214285714284,4,1560.04443359375,0.0,1560.04443359375,1560.04443359375,3522.517857142857,3609.0
512,64,2,cold_after_load,4,1882.1547000002283,60.49665334560631,1906.6488250005025,1921.3062450006873,4,34.03076980562392,1.1278956072500943,33.56702274743606,35.399979308565186,4,45.9992380952381,0.7538801739696191,45.82766666666667,46.85454285714287,4,1677.31787109375,0.0,1677.31787109375,1677.31787109375,3784.05,3785.0
512,64,2,warm1,4,1844.9470375001056,61.885144597442924,1844.7576250000566,1901.3455774996148,4,34.71863926979675,1.1645483124224107,34.7178074061391,35.77798586055891,4,45.748071428571436,0.46709440957129955,45.79714285714286,46.20131904761905,4,1677.31787109375,0.0,1677.31787109375,1677.31787109375,3784.0511904761906,3785.0
512,128,1,cold_after_load,4,7159.174350000285,43.65107806268834,7159.732099999928,7202.861244999804,4,17.879655288230346,0.10903260969562491,17.877972143453917,17.990930030776703,4,40.54821428571429,0.09447581845165075,40.557857142857145,40.632357142857146,4,1560.04443359375,0.0,1560.04443359375,1560.04443359375,3511.0,3511.0
512,128,1,warm1,4,7200.439975000336,124.20047301682382,7150.4602000004525,7351.6189900003155,4,17.780600966779076,0.302205931704001,17.901217843803266,17.979466521197946,4,40.35150862068966,0.30934388041738814,40.44232142857143,40.58848214285714,4,1560.04443359375,0.0,1560.04443359375,1560.04443359375,3511.0,3511.0
512,128,2,cold_after_load,4,3748.5560249997434,115.6300252992739,3766.6381749995708,3849.591187499936,4,34.17105538405076,1.0623090911043795,33.993472055694966,35.3403485311117,4,45.42062746305419,0.6928338679653258,45.1595,46.26106785714285,4,1677.31787109375,0.0,1677.31787109375,1677.31787109375,3784.6856527093596,3794.0
512,128,2,warm1,4,3621.30097499994,88.94738038654188,3629.2376749997857,3698.610507500234,4,35.36244104825978,0.8700814699246107,35.280840836776164,36.23152671491293,4,45.76897783251232,0.6080102662777591,46.00283251231528,46.18071428571429,4,1677.31787109375,0.0,1677.31787109375,1677.31787109375,3784.0960591133007,3785.0
1024,16,1,cold_after_load,4,1018.3480250007051,21.12156697854698,1014.6712500009016,1042.172340000161,4,15.71675709454292,0.3237697446267441,15.77024347133821,16.00532784536204,4,52.1275,2.8579880743861286,52.978750000000005,54.33375,4,1752.32177734375,0.0,1752.32177734375,1752.32177734375,3733.0,3735.0
1024,16,1,warm1,4,1010.5478249997759,16.372290592957988,1006.2201000000641,1030.0563949991556,4,15.83608082828891,0.25385797365334595,15.901301468205707,16.04665128557076,4,52.298125,0.6420227637449193,52.4525,52.841499999999996,4,1752.32177734375,0.0,1752.32177734375,1752.32177734375,3735.0,3735.0
1024,16,2,cold_after_load,4,632.9849250000734,5.0867066823103935,632.8368250001404,638.4582300004695,4,25.278286864049026,0.2030207202082875,25.283091127727246,25.489276412928902,4,65.13000000000001,1.897991218806519,65.417,66.7706,4,2058.86865234375,0.0,2058.86865234375,2058.86865234375,4102.700000000001,4114.0
1024,16,2,warm1,4,629.959687499877,4.881704767373093,629.5702000002166,634.8895074994743,4,25.3995938299053,0.19670558827513843,25.414911450716332,25.576467388059744,4,67.37650000000001,2.750373732180166,68.119,69.6074,4,2058.86865234375,0.0,2058.86865234375,2058.86865234375,4105.95,4114.0
1024,64,1,cold_after_load,4,3561.142949999521,41.94170973554446,3565.2418500003478,3601.0240949992294,4,17.97363242639912,0.21218507487531643,17.951704161320492,18.205187588995887,4,46.642857142857146,1.3909702726225783,46.71071428571429,48.062535714285715,4,1752.32177734375,0.0,1752.32177734375,1752.32177734375,3735.0,3735.0
1024,64,1,warm1,4,3828.204700000242,382.2211450982888,3707.2336000001087,4286.957305000033,4,16.83598425453214,1.5774354361604557,17.281609544801483,18.08576161865345,4,45.86830182072829,2.0556369462056674,46.06523809523809,47.78539285714286,4,1752.32177734375,0.0,1752.32177734375,1752.32177734375,3763.357142857143,3883.0
1024,64,2,cold_after_load,4,1979.233662499837,138.19676309102786,1915.0610249998863,2146.7915400002767,4,32.44678052233619,2.120384276303898,33.42020595832322,33.65735031897832,4,58.03537254901961,1.6452223421687062,58.18233333333333,59.6526,4,2058.86865234375,0.0,2058.86865234375,2058.86865234375,4106.182352941177,4114.0
1024,64,2,warm1,4,1910.195874999772,22.60086998026367,1916.7903499997008,1927.9471725002168,4,33.50796794958789,0.4001198684658412,33.389178352292745,33.98617172497142,4,58.519000000000005,0.2905313140514225,58.50633333333333,58.83206666666667,4,2058.86865234375,0.0,2058.86865234375,2058.86865234375,4106.916666666667,4115.0
1024,128,1,cold_after_load,4,7468.86325000014,117.05206432751199,7427.939950001019,7610.716189998857,4,17.140932829962097,0.26522489337472493,17.232397658617167,17.33409086790354,4,46.07940804597701,0.36232470606877476,46.06209195402299,46.456620689655175,4,1752.32177734375,0.0,1752.32177734375,1752.32177734375,3806.275,3933.0
1024,128,1,warm1,4,7523.035424999762,281.68267186895486,7414.60834999998,7864.377959999365,4,17.031725836746055,0.6167085473880161,17.263390743956876,17.454359869070892,4,46.09723303670745,0.483703160173578,46.2751724137931,46.43417241379311,4,1752.32177734375,0.0,1752.32177734375,1752.32177734375,3789.051724137931,3886.0
1024,128,2,cold_after_load,4,3616.5945499999452,72.23394849351547,3617.3308249999536,3684.756097499758,4,35.40300528090292,0.7072669677949006,35.392492582972025,36.082906072292474,4,56.36009544334975,0.5883754863249168,56.37624384236453,56.91541071428571,4,2058.86865234375,0.0,2058.86865234375,2058.86865234375,4108.026477832512,4109.0
1024,128,2,warm1,4,3757.2909749999326,76.81385559824503,3752.2985000000517,3835.0357849999004,4,34.07776431920195,0.6956617185916224,34.11892810603882,34.721032333108695,4,56.342362068965514,0.38004615459576346,56.346994252873564,56.734172413793104,4,2058.86865234375,0.0,2058.86865234375,2058.86865234375,4108.0336206896545,4109.0
