seed,strategy,phase,requests,joint_sla_rate,mean_latency_ms,mean_energy_j,q8_action_rate,reward,shift_fraction,shift_step
2027,greedy_sla_ewma,post_shift,2000,0.8995,7590.683613491254,37.83036469862296,1.0,0.5362732016318174,0.8,8000
2027,greedy_sla_stale,post_shift,2000,0.9005,7586.460172864126,37.80814940092426,1.0,0.5374648434593997,0.8,8000
2028,q_online,post_shift,8000,0.904875,6637.6738026572475,32.864032519393795,0.687375,0.5901203851972953,0.2,2000
2028,adaptive_linucb,post_shift,8000,0.8925,7246.694002809036,36.03957701830328,0.9135,0.5456119379042064,0.2,2000
2028,linucb_online,post_shift,8000,0.896625,7584.873352819001,37.80926797767374,1.0,0.5333389991555221,0.2,2000
2028,greedy_sla_ewma,post_shift,8000,0.896375,7585.901940937223,37.814678351175594,1.0,0.5330504271010887,0.2,2000
2028,greedy_sla_stale,post_shift,8000,0.896625,7584.873352819001,37.80926797767374,1.0,0.5333389991555221,0.2,2000
2028,q_online,post_shift,5000,0.9046,6592.543600544117,32.627692409191866,0.6878,0.5915562031658052,0.5,5000
2028,adaptive_linucb,post_shift,5000,0.8944,7594.541488308959,37.862380813784185,0.9992,0.5307327601093339,0.5,5000
2028,linucb_online,post_shift,5000,0.896,7577.250268050727,37.771069432500425,1.0,0.5329982093409732,0.5,5000
2028,greedy_sla_ewma,post_shift,5000,0.8956,7579.204628048065,37.78134936608642,1.0,0.5325137966049173,0.5,5000
2028,greedy_sla_stale,post_shift,5000,0.896,7577.250268050727,37.771069432500425,1.0,0.5329982093409732,0.5,5000
2028,q_online,post_shift,2000,0.8935,6950.2360874104,34.49462814537701,0.764,0.5641949811764662,0.8,8000
2028,adaptive_linucb,post_shift,2000,0.892,7612.94148196482,37.95319425045241,0.998,0.5278243351571132,0.8,8000
2028,linucb_online,post_shift,2000,0.895,7572.608497037471,37.740140312916516,1.0,0.5323751824575876,0.8,8000
2028,greedy_sla_ewma,post_shift,2000,0.8945,7577.716402036266,37.767007893210184,1.0,0.5316503732160677,0.8,8000
2028,greedy_sla_stale,post_shift,2000,0.895,7572.608497037471,37.740140312916516,1.0,0.5323751824575876,0.8,8000
