seed,strategy,phase,requests,joint_sla_rate,mean_latency_ms,mean_energy_j,q8_action_rate,reward
2027,dynamic_budget_q8,post_shift,5000,0.0032,13304.558122664414,67.90953812385716,1.0,-0.6250304139286789
2027,dynamic_budget_q8,pre_shift,5000,1.0,6844.778065336751,33.92330784530448,1.0,0.6762145819809262
2027,greedy_sla_ewma,post_shift,5000,0.8952,7581.848029346709,37.808083033006035,1.0,0.5320110927316276
2027,greedy_sla_ewma,pre_shift,5000,1.0,3975.497700772561,18.832546748381827,0.984,0.8093704190523993
2027,greedy_sla_stale,post_shift,5000,0.8954,7575.6131241636185,37.77528743174298,1.0,0.5325104677696361
2027,greedy_sla_stale,pre_shift,5000,1.0,3984.496211450944,18.87989089386666,0.984,0.8089226337623282
2027,linucb_online,post_shift,5000,0.8962,7573.852063594797,37.76602425315098,1.0,0.5333622207802915
2027,linucb_online,pre_shift,5000,1.0,3974.539164095202,18.82751353937863,0.984,0.809412970893806
2027,oracle_adaptive,post_shift,5000,0.8904,7599.109327204962,37.89887745974045,1.0,0.5264520853446852
2027,oracle_adaptive,pre_shift,5000,1.0,3981.394653293157,18.863578486863236,0.984,0.8090282147383501
2027,q_frozen,post_shift,5000,0.8804,7657.3480556162585,38.20521317118386,1.0,0.5143814276006079
2027,q_frozen,pre_shift,5000,1.0,4009.190436347243,19.00975676038662,0.984,0.8080701312975721
2027,q_online,post_shift,5000,0.9082,6710.502512311338,33.257941797746334,0.7226,0.5889222434180835
2027,q_online,pre_shift,5000,0.9828,4103.041701453303,19.544654003759934,0.6402,0.7858424712415027
2028,adaptive_linucb,post_shift,5000,0.8944,7595.795521991746,37.88590449273995,0.9992,0.5306908335833894
2028,adaptive_linucb,pre_shift,5000,1.0,3978.8157375275723,18.832546748381827,0.984,0.809246784153074
2028,dynamic_budget_q8,post_shift,5000,0.0018,13289.38242386529,67.83381160044841,1.0,-0.6259197752310695
2028,dynamic_budget_q8,pre_shift,5000,1.0,6849.160682398319,33.928907537716974,1.0,0.6760866652660331
2028,greedy_sla_ewma,post_shift,5000,0.8954,7577.021359051937,37.78679239953018,1.0,0.5324430953609223
2028,greedy_sla_ewma,pre_shift,5000,1.0,3987.814248205955,18.87989089386666,0.984,0.808798998863003
2028,greedy_sla_stale,post_shift,5000,0.8944,7576.263229298011,37.782804637024526,1.0,0.5314498771542132
2028,greedy_sla_stale,pre_shift,5000,1.0,3990.2229601347676,18.89253369374746,0.984,0.8087192399123714
2028,linucb_online,post_shift,5000,0.8934,7588.514386024518,37.84724572140596,1.0,0.5298946338965875
2028,linucb_online,pre_shift,5000,1.0,3995.469612579179,18.92013767887079,0.984,0.8083884060724698
2028,oracle_adaptive,post_shift,5000,0.8906,7578.43614456837,37.79423417134662,1.0,0.5274293533562254
2028,oracle_adaptive,pre_shift,5000,1.0,3991.2279358217793,18.89783973535625,0.984,0.8086274665360634
2028,q_frozen,post_shift,5000,0.8828,7644.044427010314,38.13933373699124,1.0,0.5173265677879636
2028,q_frozen,pre_shift,5000,1.0,4011.7163569106856,19.005612700256716,0.984,0.8080196176422132
2028,q_online,post_shift,5000,0.9076,6454.638553657464,31.922886252638815,0.6544,0.6016171652934424
2028,q_online,pre_shift,5000,0.9802,4058.9909133265114,19.294381394203,0.6366,0.7848924999711475
2029,adaptive_linucb,post_shift,5000,0.8944,7593.409356183188,37.86450422505842,0.9992,0.5308146762655521
2029,adaptive_linucb,pre_shift,5000,1.0,3979.5569346486113,18.87989089386666,0.984,0.8091839318652306
2029,dynamic_budget_q8,post_shift,5000,0.0024,13326.349582642588,68.01940303527526,1.0,-0.6266508874277741
2029,dynamic_budget_q8,pre_shift,5000,1.0,6827.769725617304,33.85982457436046,1.0,0.6769547923505699
2029,greedy_sla_ewma,post_shift,5000,0.8938,7580.585521771282,37.7966840750922,1.0,0.5306496191321245
2029,greedy_sla_ewma,pre_shift,5000,1.0,3981.9656465774237,18.89253369374746,0.984,0.809104172914599
2029,greedy_sla_stale,post_shift,5000,0.8934,7592.132107446736,37.85741911574508,1.0,0.5297475543847204
2029,greedy_sla_stale,pre_shift,5000,1.0,3978.0994906613864,18.872203935949386,0.984,0.8093035265442753
2029,linucb_online,post_shift,5000,0.896,7580.682708739233,37.797195278543626,1.0,0.5328357426223875
2029,linucb_online,pre_shift,5000,1.0,3970.5584239702284,18.832546748381827,0.984,0.8096317171553017
