scenario,treatment,baseline,metric,n_pairs,treatment_mean,baseline_mean,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,paired_cohens_d
burst_30,q_learning,greedy_sla,mean_infer_energy_j,10,18.731357466554076,18.724439443344245,0.006918023209832214,-0.04338101838391835,0.05777578978786255,0.6953125,0.07939562145649053
burst_30,q_learning,greedy_sla,mean_rl_reward,10,0.7861992127745292,0.7858617318229737,0.00033748095155569093,-0.0011229667236963333,0.0018536412096901566,0.4921875,0.13045998115559898
burst_40_loss,q_learning,dynamic_budget_q8,joint_sla_rate,10,0.9729999999999999,0.9741,-0.001100000000000001,-0.0029000000000000024,0.0007000000000000006,0.1953125,-0.36244046139731845
burst_40_loss,q_learning,dynamic_budget_q8,mean_total_latency_ms,10,4768.206400749937,7243.003943269355,-2474.7975425194186,-2507.9899015571623,-2436.935502952818,0.001953125,-40.34495384867059
burst_40_loss,q_learning,dynamic_budget_q8,mean_infer_energy_j,10,18.959959325689887,31.96991461219368,-13.009955286503788,-13.18619330797526,-12.809282091557023,0.001953125,-40.44154735280213
burst_40_loss,q_learning,dynamic_budget_q8,mean_rl_reward,10,0.7440496482166836,0.6304003608396305,0.11364928737705324,0.11171510491958324,0.11576364553026043,0.001953125,33.03657808573845
burst_40_loss,q_learning,hysteresis_rule,joint_sla_rate,10,0.9729999999999999,0.9451999999999998,0.027800000000000002,0.02460000000000002,0.03139999999999997,0.001953125,4.8508052147446605
burst_40_loss,q_learning,hysteresis_rule,mean_total_latency_ms,10,4768.206400749937,7583.449778163839,-2815.2433774139017,-2859.151649081924,-2769.438830701285,0.001953125,-36.800611152024324
burst_40_loss,q_learning,hysteresis_rule,mean_infer_energy_j,10,18.959959325689887,33.927641208236686,-14.967681882546794,-15.197778887521615,-14.730652091340877,0.001953125,-37.198792984852204
burst_40_loss,q_learning,hysteresis_rule,mean_rl_reward,10,0.7440496482166836,0.5839119926752013,0.16013765554148235,0.15605889835765824,0.16474581341394132,0.001953125,21.61191275638281
burst_40_loss,q_learning,linucb,joint_sla_rate,10,0.9729999999999999,0.9732000000000001,-0.00020000000000000017,-0.0029000000000000024,0.0027000000000000023,0.91015625,-0.042257712736425826
burst_40_loss,q_learning,linucb,mean_total_latency_ms,10,4768.206400749937,4752.16875093497,16.03764981496488,-10.246261711203152,40.942141367325185,0.322265625,0.3698032436541852
burst_40_loss,q_learning,linucb,mean_infer_energy_j,10,18.959959325689887,18.873876972894315,0.08608235279557555,-0.04825336645647176,0.2147811207573141,0.275390625,0.38381800978526553
burst_40_loss,q_learning,linucb,mean_rl_reward,10,0.7440496482166836,0.7450403499288984,-0.0009907017122147033,-0.004105188656806518,0.002381008448323131,0.556640625,-0.17696553626119543
burst_40_loss,q_learning,greedy_sla,joint_sla_rate,10,0.9729999999999999,0.9778,-0.004800000000000004,-0.007400000000000006,-0.002400000000000002,0.009765625,-1.0992686697944265
burst_40_loss,q_learning,greedy_sla,mean_total_latency_ms,10,4768.206400749937,4723.290391549567,44.91600920036963,30.108512827643434,60.1754558026341,0.001953125,1.7419289522622405
burst_40_loss,q_learning,greedy_sla,mean_infer_energy_j,10,18.959959325689887,18.724439443344245,0.23551988234564653,0.1564864172613605,0.3156117251335881,0.001953125,1.7642410884750843
burst_40_loss,q_learning,greedy_sla,mean_rl_reward,10,0.7440496482166836,0.7510803713363051,-0.007030723119621385,-0.010004578659910416,-0.004318243734186231,0.001953125,-1.4404497167474495
rtt_x1_5,q_learning,dynamic_budget_q8,joint_sla_rate,10,0.9623999999999999,0.9623000000000002,0.00010000000000000009,-0.0007000000000000006,0.0010000000000000009,1.0,0.06900655593423542
rtt_x1_5,q_learning,dynamic_budget_q8,mean_total_latency_ms,10,4479.487234407896,7164.567562122858,-2685.0803277149626,-2715.059783315248,-2651.750838624474,0.001953125,-50.127762227398094
rtt_x1_5,q_learning,dynamic_budget_q8,mean_infer_energy_j,10,18.71283316824901,32.828143638402096,-14.115310470153087,-14.272843816791777,-13.940639917735817,0.001953125,-50.09699456622938
rtt_x1_5,q_learning,dynamic_budget_q8,mean_rl_reward,10,0.7473939335524973,0.6225317618975879,0.12486217165490938,0.12267384840765849,0.12689971362209038,0.001953125,34.82883439718609
rtt_x1_5,q_learning,hysteresis_rule,joint_sla_rate,10,0.9623999999999999,0.9189,0.04349999999999993,0.038999999999999924,0.048099999999999934,0.001953125,5.655235639727571
rtt_x1_5,q_learning,hysteresis_rule,mean_total_latency_ms,10,4479.487234407896,7656.271563829102,-3176.7843294212057,-3228.6408087492305,-3121.1064922747787,0.001953125,-35.0226156228703
rtt_x1_5,q_learning,hysteresis_rule,mean_infer_energy_j,10,18.71283316824901,35.5905678930067,-16.877734724757694,-17.150481188372765,-16.583931311942557,0.001953125,-35.19434398735897
rtt_x1_5,q_learning,hysteresis_rule,mean_rl_reward,10,0.7473939335524973,0.5539659062238191,0.1934280273286782,0.187241833986807,0.1998461301792841,0.001953125,18.168413519934834
